condition_type,condition,signal,unit,row_count,non_null_count,missing_count,missing_rate,min,max,mean,std,p1,p5,p50,p95,p99,suspicious_value_count,suspicious_value_rate,imputed_count,imputed_rate,cleaning_suspicious_count,cleaning_suspicious_rate,hard_invalid_source_count,hard_invalid_source_rate,constant_segment_count,longest_constant_segment,near_constant_segment_count,longest_near_constant_segment,near_constant_tolerance,jump_count,jump_rate,jump_threshold,jump_threshold_method,jump_count_reliable,jump_diff_median,jump_diff_mad,spike_count,spike_rate,spike_threshold,spike_threshold_method,spike_count_reliable,spike_residual_median,spike_residual_mad
exclusive_operating_state,high_load,ambient_temp,°C,33376,33366,10,0.0002996164908916587,-14.0,33.0,11.505664448840136,11.619815995315859,-10.0,-8.0,15.0,28.0,32.0,0,0.0,0,0.0,0,0.0,0,0.0,306,626,306,626,0.021,4,0.0001199220506670664,8.0,nonzero_p99.5,True,0.0,0.0,0,0.0,3.0,nonzero_p99.5,True,0.0,0.0
exclusive_operating_state,high_load,accel_pedal_d,%,33376,33376,0,0.0,14.1,85.1,37.88629104745925,19.997134820962554,14.1,14.1,44.3,74.1,78.0,0,0.0,10,0.0002996164908916587,0,0.0,0,0.0,128,201,128,201,0.0369,78,0.0023370786516853934,50.199999999999996,nonzero_p99.5,True,0.0,0.0,48,0.0014381591562799617,41.041999999999824,nonzero_p99.5,True,0.0,0.0
exclusive_operating_state,high_load,accel_pedal_e,%,33376,33376,0,0.0,14.1,84.3,38.165559084372,19.973448742935364,14.1,14.5,44.7,73.7,77.6,0,0.0,10,0.0002996164908916587,0,0.0,0,0.0,95,152,95,152,0.0369,8356,0.2503670411985019,2.79999999999999,median_plus_6_mad,True,0.3999999999999986,0.3999999999999986,48,0.0014381591562799617,40.8,nonzero_p99.5,True,0.0,0.0
exclusive_operating_state,deceleration,coolant_temp,°C,19411,19411,0,0.0,67.0,102.0,89.15697285044563,3.9507184650050293,71.0,80.0,90.0,92.0,95.0,0,0.0,0,0.0,0,0.0,0,0.0,76,91,76,91,0.002,11,0.0005667181865018032,20.0,nonzero_p99.5,True,0.0,0.0,4,0.00020606872391942712,9.444999999999823,nonzero_p99.5,True,0.0,0.0
exclusive_operating_state,deceleration,map,kPa,19411,19411,0,0.0,54.0,183.0,112.04394415537581,10.696842416981681,76.0,100.0,111.0,129.0,139.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.013000000000000001,994,0.0512107161257084,15.0,median_plus_6_mad,True,3.0,2.0,1831,0.09432795837411777,7.0,median_plus_6_mad,True,1.0,1.0
exclusive_operating_state,deceleration,rpm,rpm,19411,19411,0,0.0,735.0,2855.0,1465.0099428159292,410.3843911942311,879.0,894.0,1476.0,2109.5,2426.9000000000015,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.665,2287,0.11782586295723854,452.0,median_plus_6_mad,True,86.0,61.0,3201,0.16490649631652157,189.0,median_plus_6_mad,True,27.0,27.0
exclusive_operating_state,deceleration,speed,km/h,19411,19411,0,0.0,10.0,170.0,61.67265983205399,36.991171009331,10.0,14.0,55.0,123.0,143.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.065,2635,0.13575476558475014,9.0,median_plus_6_mad,True,3.0,1.0,45,0.0023182731440935553,21.0,nonzero_p99.5,True,0.0,0.0
exclusive_operating_state,deceleration,intake_temp,°C,19411,19411,0,0.0,-33.0,53.0,17.458708979444644,12.722727000978336,-10.0,-4.0,20.0,35.0,42.900000000001455,2,0.00010303436195971356,0,0.0,2,0.00010303436195971356,0,0.0,0,0,0,0,0.021,445,0.022926326635754765,7.0,median_plus_6_mad,True,1.0,1.0,48,0.0024728246870331255,8.569999999999709,nonzero_p99.5,True,0.0,0.0
exclusive_operating_state,deceleration,maf,g/s,19411,19411,0,0.0,6.02,45.24,20.877197465354698,9.927966341066615,7.13,7.99,20.19,38.58,43.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.01617,749,0.03858835651725914,18.490000000000002,median_plus_6_mad,True,2.950000000000001,2.59,2822,0.14538148472515583,7.7700000000000085,median_plus_6_mad,True,1.1100000000000012,1.1100000000000012
exclusive_operating_state,deceleration,tps,%,19411,19411,0,0.0,20.0,83.5,81.61143166245942,10.025404087397957,25.9,83.1,83.5,83.5,83.5,0,0.0,0,0.0,0,0.0,0,0.0,140,600,140,600,1e-06,5,0.00025759917568263783,57.57799999999993,nonzero_p99.5,True,0.0,0.0,0,0.0,52.5,nonzero_p99.5,True,0.0,0.0
exclusive_operating_state,deceleration,ambient_temp,°C,19411,19411,0,0.0,-14.0,33.0,11.363968883622688,11.158442902488645,-11.0,-7.0,14.0,25.0,32.0,0,0.0,0,0.0,0,0.0,0,0.0,191,325,191,325,0.02,3,0.0001545595054095827,9.0,nonzero_p99.5,True,0.0,0.0,0,0.0,3.0,nonzero_p99.5,True,0.0,0.0
exclusive_operating_state,deceleration,accel_pedal_d,%,19411,19411,0,0.0,14.1,42.0,15.954051826284065,5.055190551379896,14.1,14.1,14.1,28.6,38.0,0,0.0,0,0.0,0,0.0,0,0.0,96,127,96,127,1e-06,22,0.0011334363730036063,27.5,nonzero_p99.5,True,0.0,0.0,16,0.0008242748956777085,27.147999999999957,nonzero_p99.5,True,0.0,0.0
exclusive_operating_state,deceleration,accel_pedal_e,%,19411,19411,0,0.0,14.1,63.9,16.278774921436302,5.043368002356541,14.1,14.5,14.5,28.6,38.8,0,0.0,0,0.0,0,0.0,0,0.0,81,105,81,105,1e-06,25,0.001287995878413189,28.6,nonzero_p99.5,True,0.0,0.0,13,0.0006697233527381382,28.200000000000003,nonzero_p99.5,True,0.0,0.0
