group_type,group_value,signal,unit,row_count,non_null_count,missing_count,missing_rate,mean,std,min,p1,p5,p50,p95,p99,max
child_state,high_load,coolant_temp,°C,26278,26278,0,0.0,85.73137225055179,13.175451572367782,12.0,31.0,52.0,90.0,92.0,93.0,100.0
child_state,high_load,map,kPa,26278,26278,0,0.0,177.04121318212952,38.99449873335575,64.0,96.0,108.0,185.0,229.0,232.0,247.0
child_state,high_load,rpm,rpm,26278,26278,0,0.0,2067.653969099627,415.0227156362446,141.0,1057.54,1455.0,2065.0,2855.0,3262.0,3788.0
child_state,high_load,speed,km/h,26278,26278,0,0.0,107.55333358703098,41.812352759491496,0.0,6.0,21.0,118.0,168.0,193.0,218.0
child_state,high_load,intake_temp,°C,26278,26278,0,0.0,18.433347286703707,13.61174417168461,-28.0,-6.230000000000018,-2.0,20.0,36.0,48.0,140.0
child_state,high_load,maf,g/s,26278,26278,0,0.0,50.826946875713524,23.409638618135038,0.0,12.463099999999999,18.8,46.44,95.83,112.24,129.22
child_state,high_load,tps,%,26278,26278,0,0.0,80.64481315168582,11.461521138020775,24.3,31.0,41.2,83.5,83.5,83.5,89.0
child_state,high_load,ambient_temp,°C,26278,26276,2,7.610929294466855e-05,11.212703607855078,11.584060375674706,-13.0,-10.0,-8.0,14.0,28.0,32.0,33.0
child_state,high_load,accel_pedal_d,%,26278,26278,0,0.0,36.09984397594946,21.34368068077448,14.1,14.1,14.1,38.0,77.6,78.0,85.1
child_state,high_load,accel_pedal_e,%,26278,26278,0,0.0,36.5092891392039,21.28152307068941,14.1,14.1,14.5,38.4,76.9,77.6,84.3
child_state,idle,coolant_temp,°C,18167,18167,0,0.0,65.93862497935818,25.682559994270367,-1.0,11.0,22.0,71.0,92.0,97.0,103.0
child_state,idle,map,kPa,18167,18167,0,0.0,100.935377332526,8.512647179656033,36.0,67.0,97.0,102.0,108.0,115.0,201.0
child_state,idle,rpm,rpm,18167,18167,0,0.0,889.7149777068311,165.14235318576155,50.0,676.0,767.0,832.0,1043.0,1487.0800000000017,2404.0
child_state,idle,speed,km/h,18167,18167,0,0.0,0.49490835030549896,2.6828104940528448,0.0,0.0,0.0,0.0,1.0,16.340000000000146,37.0
child_state,idle,intake_temp,°C,18167,18163,4,0.00022017944624869268,17.55079006772009,13.25804207942859,-32.0,-6.0,0.0,15.0,38.0,47.0,147.0
