source_kind,csv_path,proxy_decisions_path,anomaly_type,rows,triggered_rows,dtc_emitted_rows,result_states,confidence_values,sub_checks,has_positive_proxy_evidence
real_csv,data/raw/OBD-II-Dataset/2017-07-28_Seat_Leon_KA_KA_Normal.csv,data/processed/runs/dashboard_upload_20260802T132616Z_418d8687/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,not_evaluable|pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-28_Seat_Leon_KA_RT_Stau.csv,data/processed/runs/dashboard_upload_20260802T132621Z_36ffa718/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,4,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-28_Seat_Leon_KA_RT_Stau.csv,data/processed/runs/dashboard_upload_20260802T132621Z_36ffa718/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-31_Seat_Leon_KA_KA_Frei.csv,data/processed/runs/dashboard_upload_20260802T132629Z_2baf7d06/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-31_Seat_Leon_KA_KA_Frei.csv,data/processed/runs/dashboard_upload_20260802T132629Z_2baf7d06/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,not_evaluable|pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-31_Seat_Leon_RT_KA_Normal.csv,data/processed/runs/dashboard_upload_20260802T132635Z_ea10f8c9/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-07-31_Seat_Leon_RT_KA_Normal.csv,data/processed/runs/dashboard_upload_20260802T132635Z_ea10f8c9/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-01_Seat_Leon_KA_KA_Frei.csv,data/processed/runs/dashboard_upload_20260802T132642Z_63c62916/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-01_Seat_Leon_KA_KA_Frei.csv,data/processed/runs/dashboard_upload_20260802T132642Z_63c62916/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,not_evaluable|pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-01_Seat_Leon_KA_RT_Normal.csv,data/processed/runs/dashboard_upload_20260802T132647Z_3d373984/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-01_Seat_Leon_KA_RT_Normal.csv,data/processed/runs/dashboard_upload_20260802T132647Z_3d373984/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-02_Seat_Leon_RT_S_Normal.csv,data/processed/runs/dashboard_upload_20260802T132653Z_6eb8b89d/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-02_Seat_Leon_RT_S_Normal.csv,data/processed/runs/dashboard_upload_20260802T132653Z_6eb8b89d/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,not_evaluable|pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-03_Seat_Leon_S_RT_Normal.csv,data/processed/runs/dashboard_upload_20260802T132718Z_3cd0dc66/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-03_Seat_Leon_S_RT_Normal.csv,data/processed/runs/dashboard_upload_20260802T132718Z_3cd0dc66/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-04_Seat_Leon_S_RT_Normal.csv,data/processed/runs/dashboard_upload_20260802T132724Z_6c287850/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-04_Seat_Leon_S_RT_Normal.csv,data/processed/runs/dashboard_upload_20260802T132724Z_6c287850/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-05_Seat_Leon_S_CW_Normal.csv,data/processed/runs/dashboard_upload_20260802T132732Z_0e57f370/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-05_Seat_Leon_S_CW_Normal.csv,data/processed/runs/dashboard_upload_20260802T132732Z_0e57f370/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-07_Seat_Leon_KA_RT_Frei.csv,data/processed/runs/dashboard_upload_20260802T132743Z_a00eebda/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-07_Seat_Leon_KA_RT_Frei.csv,data/processed/runs/dashboard_upload_20260802T132743Z_a00eebda/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-07_Seat_Leon_RT_KA_Frei_Vollbremsung.csv,data/processed/runs/dashboard_upload_20260802T132750Z_e6d2effd/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-07_Seat_Leon_RT_KA_Frei_Vollbremsung.csv,data/processed/runs/dashboard_upload_20260802T132750Z_e6d2effd/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-08_Seat_Leon_RT_S_Normal.csv,data/processed/runs/dashboard_upload_20260802T132757Z_eee98768/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-08_Seat_Leon_RT_S_Normal.csv,data/processed/runs/dashboard_upload_20260802T132757Z_eee98768/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-08_Seat_Leon_S_RT_Normal.csv,data/processed/runs/dashboard_upload_20260802T132803Z_72109eb8/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-08_Seat_Leon_S_RT_Normal.csv,data/processed/runs/dashboard_upload_20260802T132803Z_72109eb8/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-09_Seat_Leon_RT_S_Normal.csv,data/processed/runs/dashboard_upload_20260802T132810Z_4db64a44/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-09_Seat_Leon_RT_S_Normal.csv,data/processed/runs/dashboard_upload_20260802T132810Z_4db64a44/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-09_Seat_Leon_S_RT_Normal.csv,data/processed/runs/dashboard_upload_20260802T132819Z_6be1d4f2/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-09_Seat_Leon_S_RT_Normal.csv,data/processed/runs/dashboard_upload_20260802T132819Z_6be1d4f2/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-10_Seat_Leon_RT_S_Normal.csv,data/processed/runs/dashboard_upload_20260802T132825Z_f54c5b35/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-10_Seat_Leon_RT_S_Normal.csv,data/processed/runs/dashboard_upload_20260802T132825Z_f54c5b35/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,not_evaluable|pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-10_Seat_Leon_S_RT_Frei.csv,data/processed/runs/dashboard_upload_20260802T132833Z_755fe916/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2017-08-10_Seat_Leon_S_RT_Frei.csv,data/processed/runs/dashboard_upload_20260802T132833Z_755fe916/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2018-02-14_Seat_Leon_RT_S_Normal.csv,data/processed/runs/dashboard_upload_20260802T132841Z_0a3c1145/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2018-02-14_Seat_Leon_RT_S_Normal.csv,data/processed/runs/dashboard_upload_20260802T132841Z_0a3c1145/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2018-02-14_Seat_Leon_S_RT_Normal.csv,data/processed/runs/dashboard_upload_20260802T132847Z_7da7cdda/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2018-02-14_Seat_Leon_S_RT_Normal.csv,data/processed/runs/dashboard_upload_20260802T132847Z_7da7cdda/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,pass,high,5-S1|5-S2|5-S3,False
real_csv,data/raw/OBD-II-Dataset/2018-02-16_Seat_Leon_S_RT_Normal.csv,data/processed/runs/dashboard_upload_20260802T132854Z_1a375b29/proxy/70_decisions/proxy_decisions.csv,intake_air_temperature_sensor_fault,3,0,0,not_evaluable|pass,high|low,4-S1|4-S2|4-S3,False
real_csv,data/raw/OBD-II-Dataset/2018-02-16_Seat_Leon_S_RT_Normal.csv,data/processed/runs/dashboard_upload_20260802T132854Z_1a375b29/proxy/70_decisions/proxy_decisions.csv,map_load_signal_plausibility_fault,3,0,0,not_evaluable|pass,high,5-S1|5-S2|5-S3,False
